question,ground_truths,answer,contexts
What does the bias audit include when AEDT selects candidates or classifies them?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","It includes calculating selection rates, impact ratios, and ensuring separate calculations for sex, race/ethnicity, and intersectional categories.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Do results of a bias audit require specific actions according to the Law?,"Upon receiving notice of AEDT usage, a candidate has the option to request an alternative selection process or a reasonable accommodation under other laws, if available.","No, the Law requires a bias audit but doesn't mandate specific actions based on the results. However, employers must comply with anti-discrimination laws and rules.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available."
What options does a candidate have upon receiving a notice about the use of an AEDT?,"A candidate can request an alternative selection process or a reasonable accommodation under other laws, if available.",What options does a candidate have upon receiving a notice about the use of an AEDT?,"(a) The notice required by � 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
What is the purpose of a bias audit for an automated employment decision tool?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The purpose of a bias audit is to impartially evaluate the tool, including testing for disparate impact on individuals based on specified characteristics.",
What calculations are required in a bias audit for an AEDT that selects candidates or employees for promotion and results in a classification?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The bias audit must calculate the selection rate for each category and the impact ratio for each category, considering sex, race/ethnicity, and intersectional categories.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What action can the corporation counsel take to enforce compliance with local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.",The corporation counsel or designated persons can initiate an action or proceeding in any court of competent jurisdiction for the correction of violations and to mandate compliance.,"The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What tools are covered by local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
do local law 144 auditors have to be certified?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Auditors do not have to be certified to conduct bias audits under Local Law 144, but they must be independent and capable of objective and impartial judgement. This is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What does the bias audit summary include?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","It includes the date of the most recent bias audit, the source and explanation of the data used, the number of individuals in an unknown category, and the rates and impact ratios for all categories.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
How often must employers perform a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Every year, and they can only rely on a bias audit for one year from the date it was conducted.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What should employers do if the bias audit indicates a disparate impact?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","While the law requires a bias audit, it does not mandate specific actions based on the results. Employers must, however, comply with all relevant anti-discrimination laws and rules. If a bias audit suggests a disparate impact, employers should carefully assess the situation and take appropriate steps to address any potential discriminatory practices.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What must the summary of results contain for local law 144?,"No, the Law's requirements do not apply to the output from analytical tools that translate or transcribe existing text, such as scanning a candidate's resume.","This summary must include the date of the most recent bias audit, the source and explanation of the data used to conduct the bias audit, the number of individuals that were in an unknown category, the number of applicants in each category, the selection and scoring rate of each category, and the impact ratios for all categories. If the bias audit used test data, the summary of results must explain why historical data was not used and and how the test data was generated and obtained. If a category that represented less than 2% of the data was excluded from the bias audit, the summary of results must also include the auditor's justification for excluding this category, as well as the number of applicants in the excluded category and the scoring rate or selection rate.","Simplified output may take the form of a score, tag or categorization, recommendation, or ranking. It does not refer to the output from analytical tools that translate or transcribe existing text."
Do the LawÕs requirements apply to scanning a resume bank or conducting outreach?,"An Automated Employment Decision Tool (AEDT) means a tool used to substantially assist or replace discretionary decision making, either by relying solely on a simplified output, using it as a primary criterion, or using it to overrule other conclusions.","No, the requirements apply only to AEDT use for assessing candidates for hiring or promotion, where the tool is used to evaluate someone who has applied for a specific position.","Automated Employment Decision Tool. “Automated employment decision tool” or “AEDT” means “Automated employment decision tool” as defined by § 20-870 of the Code where the phrase “to substantially assist or replace discretionary decision making” means:

i. to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or

ii. to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or

iii. to use a simplified output to overrule conclusions derived from other factors including human decision-making."
What is an AEDT?,"The 'Impact Ratio' is defined as either the selection rate for a category divided by the selection rate of the most selected category, or the scoring rate for a category divided by the scoring rate for the highest scoring category.","An Automated Employment Decision Tool (AEDT) is a computer-based tool that utilizes machine learning, statistical modeling, data analytics, or artificial intelligence to assist or replace discretionary decision-making in employment decisions.",Impact Ratio. “Impact ratio” means either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category.
"What is the definition of an ""Impact Ratio"" in the context of an AEDT selecting candidates or employees for promotion?","A separate violation constitutes each provision of the subchapter violated, with penalties up to $500 for the first violation and each additional violation occurring on the same day, and penalties between $500 and $1,500 for each subsequent violation.","The ""Impact Ratio"" is either the selection rate or scoring rate for a category divided by the rate of the most selected or highest-scoring category, respectively.","Penalties. Any employer or employment agency that violates any provision of this subchapter shall be subject to a civil penalty of not more than $500 for the first violation, and each additional violation occurring on the same day as the first violation, and for each subsequent violation, a civil penalty of not less than $500 nor more than $1,500."
What constitutes a separate violation in terms of automated employment decision tool use?,Each day on which the tool is used in violation of the law constitutes a separate violation.,Each day on which the tool is used in violation of the law gives rise to a separate violation.,Each day on which the tool is used in violation of the law constitutes a separate violation.
"What is the significance of the ""Impact Ratio"" in a bias audit?","A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The ""Impact Ratio"" is used for assessing the disparate impact of an AEDT on different categories, such as sex, race/ethnicity, and intersectional categories.",
what is an independent auditor under local law 144?,"An independent auditor must be objective and impartial, with no involvement in the use, development, or distribution of the AEDT, and no financial interest in the entities using or developing the AEDT.","An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT.","Independent Auditor. “Independent auditor” means a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if the auditor:

        i. is or was involved in using, developing, or distributing the AEDT;
        ii. at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or

        iii. at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the  AEDT or in a vendor that developed or distributed the AEDT."
In what circumstances can an independent auditor exclude a category from the impact ratio calculations?,The law requires employers and employment agencies to keep the summary of results and distribution date posted for at least 6 months after its latest use of the AEDT for an employment decision.,"An independent auditor may exclude a category that represents less than 2% of the data used for the bias audit, with the justification included in the summary of results.",(c) An employer or employment agency must keep the summary of results and distribution date posted for at least 6 months after its latest use of the AEDT for an employment decision.
What does the law require in terms of information disclosure about data collection for the automated employment decision tool?,"The law requires employers or agencies to disclose the date of the most recent bias audit, a summary of the results, the distribution date of the AEDT, and the data retention policy on their website.","If not disclosed on the employer or agency's website, information about data collection, its source, and the data retention policy should be available upon written request by a candidate or employee.","(a) Before the use of an AEDT, an employer or employment agency in the city must make the following publicly available on the employment section of their website in a clear and conspicuous manner: (1) The date of the most recent bias audit of the AEDT and a summary of the results, which shall include the source and explanation of the data used to conduct the bias audit, the number of individuals the AEDT assessed that fall within an unknown category, and the number of applicants or candidates, the selecti..."
What must an employer or employment agency do if an AEDT has not been subject to a bias audit within the past year?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","They are prohibited from using or continuing to use the AEDT until a bias audit is conducted, ensuring compliance with the one-year limit.",
What are the key components of a bias audit according to the law?,"Employers and agencies can provide notice of AEDT usage by posting on their website, including it in a job posting, or sending via U.S. mail or email at least 10 business days before using the AEDT.","A bias audit must include calculations of selection or scoring rates, impact ratios across various categories, and be performed by an independent auditor capable of objective and impartial judgment.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
How must employers and agencies provide notice of AEDT use?,"Employers and agencies must notify NYC residents at least 10 business days before using an AEDT, either through their website, in a job posting, or via mail or email.","They must notify NYC residents 10 business days before using an AEDT, either in a job posting, by mail/email, or on the employment section of their website. For employees, notice can also be given in a written policy or procedure.","(b) To comply with � 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following: (1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT; (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or, (3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 ..."
how is the impact ratio calculated for regression systems under local law 144??,"Employers and agencies can provide notice of AEDT usage by posting on their website, including it in a job posting, or sending via U.S. mail or email at least 10 business days before using the AEDT.","For regression systems, local law 144 requires the scoring rate to first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. The scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate.",
What does the notice requirement entail for an employer or employment agency?,"The notice must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available.","The notice must include instructions for how an individual can request an alternative selection process or a reasonable accommodation, with no requirement for the employer or agency to provide an alternative selection process. The notice should also inform employees or candidates who resides in the city that an automated employment decision tool will be used to evaluate them, as well as the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious.","(a) The notice required by � 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
How long must employers keep the summary of bias audit results posted after AEDT use?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.",The summary and distribution date must be posted for at least 6 months after the latest use of the AEDT for an employment decision.,
What is a selection rate under local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Under Local law 144, a the selection rate means the rate at which individuals in a category are either selected to move forward in the hiring process or assigned a classification by an AEDT. Such rate may be calculated by dividing the number of individuals in the category moving forward or assigned a classification by the total number of individuals in the category who applied for a position or were considered for promotion.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
"What is a ""statistically significant bias audit""?","A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The Law doesn't set a specific requirement, and if an auditor deems data insufficient, test data may be used with a detailed explanation in the summary of results.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
When did local law 144 start being enforced?,"Employers and agencies can provide notice of AEDT usage by posting on their website, including it in a job posting, or sending via U.S. mail or email at least 10 business days before using the AEDT.",New York City Local Law 144 was enforced from 5 July 2023,"(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
What notices are required if an automated employment decision tool is used?,A 'Candidate for Employment' is an individual who has applied for a specific employment position by submitting the necessary information or items in the format required by the employer or employment agency.,"Employers or employment agencies must notify employees or candidates residing in the city about the use of the tool, job qualifications and characteristics used in assessment, and provide information about data collected, its source, and the data retention policy upon written request.",Candidate for Employment. “Candidate for employment” means an individual who has applied for a specific employment position by submitting the necessary information or items in the format required by the employer or employment agency.
"Who is considered a ""Candidate for Employment""?","No, an employer or agency cannot use an automated employment decision tool without providing information about the type of data collected. This information must be provided on the employment section of the website.","A ""Candidate for employment"" is a person who has applied for a specific employment position by submitting necessary information or items in the required format.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data;"
Can an employer or agency use an automated employment decision tool without notifying candidates or employees residing in the city?,"No, the law mandates notification to individuals at least 10 business days before the use of an AEDT.","No, the law mandates notification to individuals residing in the city about the use of the tool and related information.","(b) To comply with � 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following: (1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT; (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or, (3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 ..."
What does the bias audit include when AEDT scores candidates for employment or promotion?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","It includes calculating the median score, scoring rates, impact ratios, and ensuring separate calculations for sex, race/ethnicity, and intersectional categories.",
Can a bias audit use historical data from another employerÕs use of the same AEDT?,"Yes, the notice must include instructions for requesting an alternative selection process or reasonable accommodation under other laws, if available, but the subchapter does not require employers or employment agencies to provide an alternative selection process.","Yes, but only if the employer provided historical data to the independent auditor or if it's the first time the AEDT is used.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
Can an employer provide an alternative selection process if requested?,"While the law does not require an alternative selection process, employers can provide one if they choose to.","While the law does not require an alternative selection process, the notice must include instructions on how to request a reasonable accommodation under other laws.","(a) The notice required by � 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
how is the impact ratio calculated for binary systems under local law 144?,Proceedings to recover civil penalties are returnable to the Office of Administrative Trials and Hearings (OATH).,"For binary systems, the impact ratio for a local law 144 bias audit must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate",
Who can initiate actions or proceedings for correction of violations under this subchapter?,The corporation counsel or other persons designated by the law department are authorized to initiate actions or proceedings for the collection of civil penalties.,The corporation counsel or other persons designated by the corporation counsel on behalf of the department may initiate actions or proceedings in any court of competent jurisdiction for correction of any violation.,The corporation counsel or other persons designated by the law department can initiate actions or proceedings for the collection of civil penalties.
Can local law 144 bias audits be self-conducted?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Local Law 144 requires impartial, independent bias audits by an independent auditor. An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be self-conducted",
Does local law 144 target vendors or employers?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","Under Local Law 144, employers or employment agencies using automated employment decision tools to evaluate candidates for employment or employees for promotion in New York City are liable for compliance. However, vendors of automated employment decision tools are allowed to get an independent audit of their tool or coordinate the collection of data to conduct an audit. The process can be collarboative between employers/employment agencies and vendors, but liability is with the employer/employment agency.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What is the timeframe for providing information about data collection upon request?,The timeframe for providing information about data collection upon a written request is within 30 days.,"The information should be provided within 30 days of the written request, unless disclosure would violate local, state, or federal law, or interfere with a law enforcement investigation.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days;"
How can an employer or employment agency provide notice to candidates for employment about the use of an AEDT?,"An employer or employment agency can provide notice to candidates for employment by posting it on their website, including it in a job posting, or sending it via U.S. mail or email at least 10 business days before using an AEDT.","Notice can be provided on the employment section of its website, in job postings, or via U.S. mail or email at least 10 business days before the use of an AEDT.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
What criteria must an independent auditor meet to be considered independent for an AEDT bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","An auditor must not be involved in using, developing, or distributing the AEDT, must not have an employment relationship with the AEDT user, and must not have a direct or material indirect financial interest in the AEDT user.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What is the distribution date of an AEDT?,The distribution date of an AEDT must be provided in a clear and conspicuous manner on the employment section of the employer or employment agency's website.,It is the date the employer or employment agency began using a specific AEDT.,"(c) To comply with § 20-871(b)(2) of the Code, an employer or employment agency must provide the distribution date of the AEDT in a clear and conspicuous manner on the employment section of its website."
What is the notice requirement for AEDT use for candidates for promotion?,"The notice requirement for AEDT use for candidates and employees includes providing notice on the website, in a job posting, or via U.S. mail or email at least 10 business days before use. For employees being considered for promotion, notice can also be provided in a written policy or procedure.","Employers must provide notice at least 10 business days before using an AEDT through written policy or procedure, a job posting, or mail/email.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT.

(c) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to an employee being considered for promotion who resides in the city by doing any of the following:

(1) Provide notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice via U.S. mail or e-mail at least 10 business days before use of an AEDT."
